,ds,y,src
1630,1917-06-01,-0.4,training
2554,1917-07-01,-0.23,training
223,1917-08-01,-0.26,training
2068,1917-09-01,-0.18,training
683,1917-10-01,-0.35000000000000003,training
374,1917-11-01,-0.29,training
1541,1917-12-01,-0.71,training
2536,1918-01-01,-0.44,training
1992,1918-02-01,-0.33,training
2183,1918-03-01,-0.21,training
310,1918-04-01,-0.4,training
702,1918-05-01,-0.37,training
1215,1918-06-01,-0.28,training
2249,1918-07-01,-0.22,training
919,1918-08-01,-0.26,training
1535,1918-09-01,-0.14,training
2025,1918-10-01,-0.03,training
2226,1918-11-01,-0.16,training
2801,1918-12-01,-0.30000000000000004,training
219,1919-01-01,-0.21,training
2336,1919-02-01,-0.19,training
2591,1919-03-01,-0.25,training
1836,1919-04-01,-0.17,training
1943,1919-05-01,-0.2,training
891,1919-06-01,-0.28,training
1568,1919-07-01,-0.21,training
2993,1919-08-01,-0.19,training
2346,1919-09-01,-0.17,training
2622,1919-10-01,-0.16,training
171,1919-11-01,-0.29,training
3096,1919-12-01,-0.35000000000000003,training
1767,1920-01-01,-0.15,training
1948,1920-02-01,-0.22,training
1270,1920-03-01,-0.08,training
225,1920-04-01,-0.26,training
2796,1920-05-01,-0.26,training
677,1920-06-01,-0.33,training
2753,1920-07-01,-0.32,training
1094,1920-08-01,-0.29,training
1603,1920-09-01,-0.2,training
1546,1920-10-01,-0.29,training
463,1920-11-01,-0.33,training
2487,1920-12-01,-0.47,training
3137,1921-01-01,-0.04,training
1111,1921-02-01,-0.21,training
2445,1921-03-01,-0.28,training
285,1921-04-01,-0.36,training
1373,1921-05-01,-0.36,training
2659,1921-06-01,-0.31,training
2219,1921-07-01,-0.16,training
2474,1921-08-01,-0.24,training
1139,1921-09-01,-0.16,training
1369,1921-10-01,-0.06,training
2324,1921-11-01,-0.16,training
3190,1921-12-01,-0.18,training
3103,1922-01-01,-0.34,training
990,1922-02-01,-0.44,training
524,1922-03-01,-0.13,training
1742,1922-04-01,-0.22,training
1979,1922-05-01,-0.34,training
957,1922-06-01,-0.32,training
1185,1922-07-01,-0.27,training
1582,1922-08-01,-0.31,training
3006,1922-09-01,-0.29,training
2460,1922-10-01,-0.33,training
2283,1922-11-01,-0.17,training
728,1922-12-01,-0.17,training
1772,1923-01-01,-0.27,training
1299,1923-02-01,-0.37,training
1859,1923-03-01,-0.32,training
1462,1923-04-01,-0.38,training
632,1923-05-01,-0.33,training
1436,1923-06-01,-0.24,training
1245,1923-07-01,-0.29,training
14,1923-08-01,-0.30000000000000004,training
2894,1923-09-01,-0.28,training
1049,1923-10-01,-0.13,training
1007,1923-11-01,0.03,training
1647,1923-12-01,-0.06,training
1138,1924-01-01,-0.24,training
105,1924-02-01,-0.27,training
3224,1924-03-01,-0.12,training
2158,1924-04-01,-0.35000000000000003,training
2838,1924-05-01,-0.19,training
1355,1924-06-01,-0.28,training
70,1924-07-01,-0.27,training
3233,1924-08-01,-0.35000000000000003,training
1300,1924-09-01,-0.30000000000000004,training
964,1924-10-01,-0.36,training
83,1924-11-01,-0.23,training
419,1924-12-01,-0.43,training
2473,1925-01-01,-0.34,training
260,1925-02-01,-0.35000000000000003,training
1960,1925-03-01,-0.24,training
2410,1925-04-01,-0.25,training
3144,1925-05-01,-0.30000000000000004,training
1540,1925-06-01,-0.34,training
2992,1925-07-01,-0.30000000000000004,training
22,1925-08-01,-0.19,training
