,ds,y,src
1602,2013-06-30,0.5255435728837233,yhat_lower
1603,2013-07-31,0.5321585557972608,yhat_lower
1604,2013-08-31,0.5364677841818516,yhat_lower
1605,2013-09-30,0.561862000974643,yhat_lower
1606,2013-10-31,0.5545249725622823,yhat_lower
1607,2013-11-30,0.48997439294517414,yhat_lower
1608,2013-12-31,0.5524479679060851,yhat_lower
1609,2014-01-31,0.5280440249098396,yhat_lower
1610,2014-02-28,0.5521756487877846,yhat_lower
1611,2014-03-31,0.5362270204372012,yhat_lower
1612,2014-04-30,0.5265980562856771,yhat_lower
1613,2014-05-31,0.5410333757020823,yhat_lower
1614,2014-06-30,0.5501147090612194,yhat_lower
1615,2014-07-31,0.5462385220208527,yhat_lower
1616,2014-08-31,0.5673876433060094,yhat_lower
1617,2014-09-30,0.5697649373025038,yhat_lower
1618,2014-10-31,0.5689347472604578,yhat_lower
1619,2014-11-30,0.5047627930985013,yhat_lower
1620,2014-12-31,0.58625158882487,yhat_lower
1597,2013-01-31,0.874356029643552,yhat_upper
1598,2013-02-28,0.8705720989377546,yhat_upper
1599,2013-03-31,0.8898258028242036,yhat_upper
1600,2013-04-30,0.8734422575793811,yhat_upper
1601,2013-05-31,0.8874993278226997,yhat_upper
1602,2013-06-30,0.9112864566979724,yhat_upper
1603,2013-07-31,0.8936283765646867,yhat_upper
1604,2013-08-31,0.9096708798987987,yhat_upper
1605,2013-09-30,0.925144376705477,yhat_upper
1606,2013-10-31,0.9272748664802255,yhat_upper
1607,2013-11-30,0.8429794824789681,yhat_upper
1608,2013-12-31,0.9122034343789832,yhat_upper
1609,2014-01-31,0.8903990453159255,yhat_upper
1610,2014-02-28,0.9106887557309096,yhat_upper
1611,2014-03-31,0.9213922446367288,yhat_upper
1612,2014-04-30,0.8770414453677462,yhat_upper
1613,2014-05-31,0.9037119955197774,yhat_upper
1614,2014-06-30,0.92303221309187,yhat_upper
1615,2014-07-31,0.9068990955920564,yhat_upper
1616,2014-08-31,0.9342744383882613,yhat_upper
1617,2014-09-30,0.9433784311843009,yhat_upper
1618,2014-10-31,0.9417556738728272,yhat_upper
1619,2014-11-30,0.8764381278652977,yhat_upper
1620,2014-12-31,0.9416213218649583,yhat_upper
