Source;Date;Mean
GISTEMP;1960-04-01;-0.16
GCAG;1913-04-01;-0.3506
GCAG;1902-01-01;-0.08560000000000001
GCAG;1885-04-01;-0.2564
GCAG;2009-12-01;0.6176
GCAG;1983-05-01;0.2881
GISTEMP;1950-02-01;-0.26
GISTEMP;1936-02-01;-0.39
GISTEMP;2010-12-01;0.49
GISTEMP;1974-12-01;-0.09
GISTEMP;1939-03-01;-0.2
GCAG;1911-07-01;-0.46580000000000005
GISTEMP;1911-04-01;-0.55
GCAG;1900-02-01;-0.09340000000000001
GCAG;1908-07-01;-0.3874
GISTEMP;1903-01-01;-0.27
GCAG;1896-02-01;-0.0789
GCAG;1889-11-01;-0.27690000000000003
GISTEMP;1888-01-01;-0.43
GCAG;1880-05-01;-0.0738
GCAG;1997-03-01;0.4617
GCAG;1947-03-01;-0.0079
GISTEMP;1896-02-01;-0.15
GISTEMP;1892-02-01;-0.15
GCAG;1891-02-01;-0.5228
GCAG;1961-10-01;-0.035
GISTEMP;1958-11-01;0.02
GCAG;1919-12-01;-0.298
GCAG;1958-06-01;0.062400000000000004
GCAG;1908-11-01;-0.4833
GISTEMP;1895-08-01;-0.16
GISTEMP;1890-02-01;-0.48
GISTEMP;1888-12-01;-0.12
GISTEMP;1967-10-01;0.06
GISTEMP;1943-08-01;0.03
GCAG;1917-09-01;-0.0635
GISTEMP;1893-03-01;-0.24
GISTEMP;1881-11-01;-0.26
GISTEMP;1990-04-01;0.55
GISTEMP;1989-03-01;0.36
GISTEMP;1928-09-01;-0.2
GISTEMP;1914-07-01;-0.24
GISTEMP;2016-08-01;0.98
GCAG;1992-05-01;0.3276
GCAG;1983-08-01;0.32280000000000003
GISTEMP;1934-11-01;-0.01
GCAG;2008-09-01;0.5318
GISTEMP;1954-09-01;-0.07
GCAG;1952-05-01;0.034
GCAG;1940-04-01;0.12860000000000002
GCAG;1923-10-01;-0.16190000000000002
GISTEMP;1917-11-01;-0.29
GISTEMP;2010-10-01;0.71
GISTEMP;1957-01-01;-0.14
GCAG;1945-08-01;0.3546
GISTEMP;1909-09-01;-0.37
GCAG;1908-09-01;-0.39730000000000004
GCAG;1903-11-01;-0.395
GCAG;1892-05-01;-0.30810000000000004
GISTEMP;2014-12-01;0.79
GCAG;1976-04-01;-0.0223
GISTEMP;1951-04-01;-0.1
GISTEMP;1940-05-01;0.05
GISTEMP;1927-04-01;-0.31
GCAG;1902-12-01;-0.3592
GCAG;1880-11-01;-0.2672
GISTEMP;2011-12-01;0.54
GCAG;1978-12-01;0.1512
GISTEMP;1942-11-01;0.13
GCAG;1929-12-01;-0.5167
GCAG;1907-06-01;-0.37420000000000003
GCAG;1901-03-01;-0.0327
GCAG;1900-06-01;-0.045
GCAG;1950-08-01;-0.13820000000000002
GISTEMP;1948-02-01;-0.13
GISTEMP;1937-05-01;-0.07
GCAG;2006-12-01;0.7692
GISTEMP;1994-02-01;0.04
GISTEMP;1963-09-01;0.2
GCAG;1960-12-01;0.2278
GCAG;1950-10-01;-0.1661
GISTEMP;1916-06-01;-0.44
GCAG;1907-11-01;-0.5055000000000001
GCAG;1930-07-01;-0.0692
GISTEMP;2011-09-01;0.56
GCAG;2001-10-01;0.5006
GISTEMP;1981-10-01;0.13
GCAG;1969-04-01;0.1935
GCAG;2009-11-01;0.6716000000000001
GISTEMP;2008-09-01;0.65
GCAG;1984-10-01;0.1187
GCAG;1952-12-01;-0.008
GISTEMP;1926-08-01;-0.11
GISTEMP;1902-12-01;-0.46
GISTEMP;1989-12-01;0.37
GISTEMP;1970-08-01;-0.11
GISTEMP;1924-12-01;-0.43
GCAG;1993-03-01;0.4208
GISTEMP;1983-07-01;0.15
GCAG;1880-12-01;-0.0775
GISTEMP;2008-11-01;0.66
GCAG;1978-01-01;0.16060000000000002
GCAG;1953-12-01;0.0555
GCAG;1904-06-01;-0.4403
GCAG;1944-07-01;0.3145
GISTEMP;1882-07-01;-0.11
GCAG;2003-04-01;0.5601
GISTEMP;1978-06-01;-0.03
GCAG;1963-01-01;0.0376
GCAG;1956-01-01;-0.1773
GCAG;1974-10-01;-0.08310000000000001
GCAG;1931-01-01;-0.047
GCAG;1911-06-01;-0.44430000000000003
GCAG;1910-11-01;-0.49560000000000004
GISTEMP;1906-02-01;-0.34
GCAG;1995-10-01;0.43760000000000004
GCAG;1993-09-01;0.16920000000000002
GCAG;1983-07-01;0.26630000000000004
GISTEMP;1888-09-01;-0.07
GCAG;1932-12-01;-0.18610000000000002
GCAG;2000-03-01;0.5561
GCAG;1991-06-01;0.4813
GISTEMP;1967-11-01;-0.06
GCAG;1926-08-01;-0.0882
GISTEMP;1904-06-01;-0.49
GISTEMP;2005-09-01;0.78
GISTEMP;1960-11-01;-0.11
GISTEMP;1937-02-01;0.05
GCAG;1916-12-01;-0.5742
GCAG;1892-09-01;-0.21980000000000002
GISTEMP;2003-07-01;0.55
GCAG;1966-10-01;-0.0592
GCAG;1938-06-01;-0.09390000000000001
GCAG;1921-06-01;-0.1665
GISTEMP;1907-01-01;-0.44
GCAG;1890-04-01;-0.25880000000000003
GCAG;1889-03-01;0.1207
GISTEMP;2013-11-01;0.81
GCAG;1955-05-01;-0.1274
GCAG;1926-01-01;0.166
GISTEMP;1920-11-01;-0.33
GCAG;1913-10-01;-0.31120000000000003
GISTEMP;1898-01-01;-0.06
GCAG;1883-10-01;-0.1612
GCAG;1943-06-01;0.0245
GISTEMP;1942-04-01;0.14
GCAG;1981-01-01;0.4656
GISTEMP;1938-11-01;0.01
GCAG;1909-12-01;-0.4071
GISTEMP;1886-10-01;-0.25
GCAG;1988-09-01;0.3211
GISTEMP;1951-12-01;0.15
GCAG;1942-04-01;0.19
GISTEMP;1941-08-01;0.14
GISTEMP;1940-02-01;0.06
GISTEMP;1905-12-01;-0.21
GISTEMP;2008-02-01;0.36
GCAG;1995-02-01;0.6895
GISTEMP;1981-07-01;0.35000000000000003
GISTEMP;1905-02-01;-0.59
GCAG;1987-09-01;0.43210000000000004
GISTEMP;1968-07-01;-0.11
GCAG;1958-09-01;0.018600000000000002
GCAG;1929-03-01;-0.2654
GISTEMP;1960-05-01;-0.08
GCAG;1939-07-01;0.0061
GCAG;1920-05-01;-0.16820000000000002
GCAG;1904-03-01;-0.5129
GISTEMP;1930-07-01;-0.17
GCAG;2011-07-01;0.6282
GCAG;1990-09-01;0.3144
GCAG;1980-11-01;0.33190000000000003
GISTEMP;2009-02-01;0.53
GCAG;1969-11-01;0.18960000000000002
GCAG;1954-11-01;0.039
GCAG;1945-04-01;0.27640000000000003
GISTEMP;1927-11-01;-0.04
GISTEMP;1893-05-01;-0.35000000000000003
GCAG;2004-01-01;0.5979
GCAG;2001-11-01;0.6880000000000001
GCAG;1988-08-01;0.3199
GISTEMP;1974-01-01;-0.14
GISTEMP;1960-12-01;0.18
GCAG;1937-04-01;-0.1262
GCAG;2004-05-01;0.44420000000000004
GCAG;1995-04-01;0.4097
GCAG;1985-03-01;0.1875
GCAG;1975-02-01;0.032600000000000004
